architecture,category,task_id,passed,passed_at_1,passed_at,n_attempts,n_reflections,n_turns,involved_classes,n_llm_calls,n_tool_calls,input_tokens,output_tokens,total_tokens,peak_context,latency_s,max_steps_hits,error_type,error_message
baseline,base,multi_turn_base_1,True,,,,,4,GorillaFileSystem,13,9,42562,539,43101,3685,7.63,0,,
baseline,base,multi_turn_base_103,True,,,,,5,MessageAPI|TradingBot,13,8,51867,941,52808,4739,11.27,0,,
baseline,base,multi_turn_base_111,True,,,,,4,MessageAPI|TradingBot,11,7,43068,724,43792,4529,8.82,0,,
baseline,base,multi_turn_base_115,True,,,,,4,TradingBot,11,7,32460,627,33087,3420,8.05,0,,
baseline,base,multi_turn_base_117,False,,,,,6,TradingBot,15,9,48101,1032,49133,4093,12.31,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 5.
baseline,base,multi_turn_base_119,True,,,,,4,TradingBot|TicketAPI,9,5,36192,433,36625,4341,5.81,0,,
baseline,base,multi_turn_base_120,True,,,,,4,TradingBot,10,6,29444,649,30093,3439,7.66,0,,
baseline,base,multi_turn_base_122,True,,,,,5,TradingBot,11,6,33488,645,34133,3548,7.8,0,,
baseline,base,multi_turn_base_127,True,,,,,4,TradingBot,9,5,26431,742,27173,3448,8.76,0,,
baseline,base,multi_turn_base_139,True,,,,,2,TwitterAPI|TradingBot,6,4,25898,259,26157,4484,3.49,0,,
baseline,base,multi_turn_base_140,True,,,,,4,TradingBot|TicketAPI,9,5,36699,577,37276,4535,7.28,0,,
baseline,base,multi_turn_base_144,True,,,,,3,TradingBot|MathAPI,7,4,32559,569,33128,5026,6.68,0,,
baseline,base,multi_turn_base_145,True,,,,,5,MessageAPI|TradingBot,12,7,48345,803,49148,4639,10.22,0,,
baseline,base,multi_turn_base_152,False,,,,,3,TicketAPI|TravelAPI,7,4,32440,702,33142,5029,8.28,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,base,multi_turn_base_153,True,,,,,5,TravelAPI,11,6,40434,992,41426,4379,11.5,0,,
baseline,base,multi_turn_base_154,False,,,,,5,MessageAPI|TravelAPI,11,6,49480,937,50417,5113,10.88,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_161,True,,,,,3,MathAPI|TravelAPI,6,3,31322,483,31805,5535,5.9,0,,
baseline,base,multi_turn_base_164,False,,,,,4,TravelAPI,9,5,31397,858,32255,4081,9.6,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
